OrderID,Date,Category,SubCategory,Customer,State,Region,Payment,Sales,Qty,Profit
1,23-03-2025,Fashion,Kids,Ekantika Sundaram,Gujarat,West,Card,10297.16,5,-20.29
2,04-01-2025,Grocery,Staples,Hritik Luthra,Maharashtra,West,UPI,9014.3,2,1826.5
3,29-04-2024,Home,Kitchen,Amol Kar,UP,East,UPI,24363.17,1,1954.19
4,08-03-2024,Grocery,Beverages,Ojasvi Bala,Delhi,West,UPI,28337.8,3,4275.89
5,06-04-2025,Grocery,Staples,Utkarsh Sarin,Gujarat,South,UPI,34020.62,5,-2833.22
6,02-03-2024,Fashion,Women,Eta Nath,Karnataka,East,COD,28407.24,2,1952.76
7,23-07-2025,Electronics,Mobiles,Neel Manne,Maharashtra,West,UPI,5096.9,1,1247.14
8,16-11-2023,Grocery,Beverages,Elijah Bedi,UP,West,Card,29860.53,5,-3730.05
9,30-08-2025,Grocery,Snacks,Damini Oza,UP,North,COD,49712.09,1,1391.75
10,11-10-2023,Home,Decor,Farhan Rajagopal,Karnataka,North,UPI,49315.83,3,-3512.94
11,26-10-2023,Home,Decor,Riya Yadav,Karnataka,West,COD,49098.59,2,-2263.16
12,02-05-2025,Fashion,Kids,Diya Yogi,Maharashtra,East,Card,41732.9,3,-3057.33
13,15-07-2024,Grocery,Beverages,Andrew Padmanabhan,Delhi,North,UPI,42442.68,4,-5150.65
14,14-03-2024,Fashion,Women,Zilmil Batra,Tamil Nadu,East,Card,19281.16,3,-1277
15,01-12-2024,Home,Decor,Veer Chada,Tamil Nadu,North,COD,46873.18,3,12042.43
16,22-01-2024,Grocery,Staples,Pranav Bala,Tamil Nadu,West,Card,21293.88,5,-3701.1
17,03-07-2024,Home,Furniture,Siya Oak,Delhi,West,COD,43600.02,3,12267.59
18,01-11-2024,Fashion,Kids,Chatura Mani,UP,West,COD,19119.61,1,2626.75
19,10-12-2024,Electronics,Mobiles,Jason Suri,Delhi,West,UPI,7279.21,5,1721.12
20,04-02-2025,Home,Decor,Anjali Sant,Karnataka,South,UPI,21016.32,1,-2400.33
21,04-07-2025,Grocery,Staples,Samaksh Karan,UP,South,Card,45551.3,3,6364.82
22,21-03-2024,Electronics,Mobiles,Vincent Basak,Tamil Nadu,North,COD,27363.33,2,5724.09
23,02-10-2024,Electronics,Mobiles,Tanvi Bhatnagar,Karnataka,North,Card,16296.72,4,-1640.37
24,01-02-2025,Grocery,Beverages,Ishaan Sinha,Tamil Nadu,North,Card,6514.14,2,1215.96
25,12-02-2024,Grocery,Staples,Jackson Aurora,Maharashtra,West,Card,26006.91,1,2691.45
26,12-11-2023,Fashion,Men,Siddharth Toor,Delhi,South,UPI,3892.77,5,393.62
27,02-07-2024,Fashion,Kids,Hemangini Prakash,Gujarat,North,UPI,18102.44,1,3137.79
