UserId,Email,Gender,BirthDate,MaritalStatus,TotalChildren
YBI211,YBI211@ybifoundation.ybif,Male,08-04-1966,Married,2
YBI212,YBI212@ybifoundation.ybif,Male,14-05-1965,Single,3
YBI213,YBI213@ybifoundation.ybif,Male,12-08-1965,Married,3
YBI214,YBI214@ybifoundation.ybif,Female,15-02-1968,Single,0
YBI215,YBI215@ybifoundation.ybif,Female,08-08-1968,Single,5
YBI216,YBI216@ybifoundation.ybif,Male,05-08-1965,Single,0
YBI217,YBI217@ybifoundation.ybif,Male,09-05-1964,Married,3
YBI218,YBI218@ybifoundation.ybif,Female,07-07-1964,Single,4
YBI219,YBI219@ybifoundation.ybif,Male,01-04-1964,Single,0
YBI220,YBI220@ybifoundation.ybif,Female,06-02-1964,Single,0
YBI221,YBI221@ybifoundation.ybif,Male,04-11-1963,Married,4
YBI222,YBI222@ybifoundation.ybif,Female,18-01-1968,Married,2
YBI223,YBI223@ybifoundation.ybif,Male,06-08-1968,Married,2
YBI224,YBI224@ybifoundation.ybif,Female,09-05-1968,Single,3
YBI225,YBI225@ybifoundation.ybif,Female,27-02-1979,Single,0
YBI226,YBI226@ybifoundation.ybif,Male,28-04-1979,Married,0
YBI227,YBI227@ybifoundation.ybif,Female,26-06-1944,Single,4
YBI228,YBI228@ybifoundation.ybif,Male,09-10-1944,Single,2
YBI229,YBI229@ybifoundation.ybif,Male,07-03-1978,Single,0
YBI230,YBI230@ybifoundation.ybif,Male,20-09-1978,Single,0
YBI231,YBI231@ybifoundation.ybif,Female,03-09-1978,Single,0
YBI232,YBI232@ybifoundation.ybif,Male,12-10-1978,Married,0
YBI233,YBI233@ybifoundation.ybif,Male,11-10-1978,Married,0
YBI234,YBI234@ybifoundation.ybif,Male,17-09-1978,Married,0
YBI235,YBI235@ybifoundation.ybif,,23-12-1945,Married,2
YBI236,YBI236@ybifoundation.ybif,Male,03-04-1946,Single,2
YBI237,YBI237@ybifoundation.ybif,Male,07-12-1946,Married,2
YBI238,YBI238@ybifoundation.ybif,Female,11-04-1946,Married,2
YBI239,YBI239@ybifoundation.ybif,Male,21-12-1946,Married,2
YBI240,YBI240@ybifoundation.ybif,Female,22-02-1947,Married,2
YBI241,YBI241@ybifoundation.ybif,Female,22-08-1947,Married,4
YBI242,YBI242@ybifoundation.ybif,Female,11-06-1947,Married,4
YBI243,YBI243@ybifoundation.ybif,Male,23-09-1947,Married,4
YBI244,YBI244@ybifoundation.ybif,Female,19-06-1947,Married,4
YBI245,YBI245@ybifoundation.ybif,,24-02-1948,Married,2
YBI246,YBI246@ybifoundation.ybif,Female,18-12-1978,Married,0
YBI247,YBI247@ybifoundation.ybif,Female,27-11-1977,Single,0
YBI248,YBI248@ybifoundation.ybif,Female,23-03-1948,Married,2
YBI249,YBI249@ybifoundation.ybif,Male,17-12-1948,Married,3
YBI250,YBI250@ybifoundation.ybif,Male,01-08-1977,Married,0
YBI251,YBI251@ybifoundation.ybif,Female,16-10-1977,Married,0
YBI252,YBI252@ybifoundation.ybif,Female,13-06-1977,Married,0
YBI253,YBI253@ybifoundation.ybif,Male,24-02-1976,Married,0
YBI254,YBI254@ybifoundation.ybif,Male,24-05-1949,Married,2
YBI255,YBI255@ybifoundation.ybif,Male,19-05-1950,Single,3
YBI256,YBI256@ybifoundation.ybif,Female,22-03-1950,Married,3
YBI257,YBI257@ybifoundation.ybif,Female,27-02-1950,Married,3
YBI258,YBI258@ybifoundation.ybif,Male,22-11-1950,Married,3
YBI259,YBI259@ybifoundation.ybif,Female,18-07-1980,Single,0
YBI260,YBI260@ybifoundation.ybif,Male,07-09-1951,Married,3
YBI261,YBI261@ybifoundation.ybif,Male,04-08-1951,Single,3
YBI262,YBI262@ybifoundation.ybif,Female,07-08-1951,Single,2
YBI263,YBI263@ybifoundation.ybif,Female,20-08-1980,Married,0
YBI264,YBI264@ybifoundation.ybif,Female,10-03-1952,Married,2
YBI265,YBI265@ybifoundation.ybif,Male,05-03-1952,Married,2
YBI266,YBI266@ybifoundation.ybif,Female,03-04-1953,Married,3
YBI267,YBI267@ybifoundation.ybif,Male,12-10-1953,Married,2
YBI268,YBI268@ybifoundation.ybif,Male,27-04-1954,Married,2
YBI269,YBI269@ybifoundation.ybif,Female,01-04-1954,Single,2
YBI270,YBI270@ybifoundation.ybif,Male,17-03-1954,Married,2
YBI271,YBI271@ybifoundation.ybif,Male,27-02-1954,Married,2
YBI272,YBI272@ybifoundation.ybif,Male,02-09-1975,Married,0
YBI273,YBI273@ybifoundation.ybif,Female,07-04-1975,Single,0
YBI274,YBI274@ybifoundation.ybif,Male,07-12-1975,Married,0
YBI275,YBI275@ybifoundation.ybif,Female,09-10-1973,Married,0
YBI276,YBI276@ybifoundation.ybif,Female,27-11-1973,Married,0
YBI277,YBI277@ybifoundation.ybif,Male,25-09-1976,Single,0
YBI278,YBI278@ybifoundation.ybif,Female,23-09-1955,Single,2
YBI279,YBI279@ybifoundation.ybif,Female,21-09-1955,Single,2
YBI280,YBI280@ybifoundation.ybif,Male,05-04-1955,Married,2
YBI281,YBI281@ybifoundation.ybif,Female,26-06-1955,Single,2
YBI282,YBI282@ybifoundation.ybif,Female,06-02-1955,Single,2
YBI283,YBI283@ybifoundation.ybif,Female,14-08-1956,Single,2
YBI284,YBI284@ybifoundation.ybif,Male,28-08-1956,Single,2
YBI285,YBI285@ybifoundation.ybif,Female,16-11-1957,Single,2
YBI286,YBI286@ybifoundation.ybif,Male,13-07-1957,Single,2
YBI287,YBI287@ybifoundation.ybif,Female,19-09-1957,Single,2
YBI288,YBI288@ybifoundation.ybif,Female,10-01-1974,Single,0
YBI289,YBI289@ybifoundation.ybif,Male,11-03-1959,Single,0
YBI290,YBI290@ybifoundation.ybif,Male,17-07-1959,Married,0
YBI291,YBI291@ybifoundation.ybif,Female,24-07-1966,Married,2
YBI292,YBI292@ybifoundation.ybif,,04-08-1966,Single,0
YBI293,YBI293@ybifoundation.ybif,Female,15-03-1966,Married,0
YBI294,YBI294@ybifoundation.ybif,Male,12-09-1957,Single,2
YBI295,YBI295@ybifoundation.ybif,Female,19-07-1957,Single,2
YBI296,YBI296@ybifoundation.ybif,Male,23-12-1957,Married,2
YBI297,YBI297@ybifoundation.ybif,Female,03-10-1957,Married,3
YBI298,YBI298@ybifoundation.ybif,Female,05-02-1957,Single,2
YBI299,YBI299@ybifoundation.ybif,Male,17-12-1957,Single,2
YBI300,YBI300@ybifoundation.ybif,Male,04-04-1957,Married,2
YBI301,YBI301@ybifoundation.ybif,Female,06-05-1967,Married,2
YBI302,YBI302@ybifoundation.ybif,Female,10-09-1967,Married,0
YBI303,YBI303@ybifoundation.ybif,Male,01-04-1962,Single,1
YBI304,YBI304@ybifoundation.ybif,Male,01-09-1962,Single,1
YBI305,YBI305@ybifoundation.ybif,Male,10-08-1962,Married,1
YBI306,YBI306@ybifoundation.ybif,Male,27-10-1961,Married,1
YBI307,YBI307@ybifoundation.ybif,Female,01-05-1961,Single,1
YBI308,YBI308@ybifoundation.ybif,Male,08-03-1961,Married,1
YBI309,YBI309@ybifoundation.ybif,Female,15-09-1960,Single,1
YBI310,YBI310@ybifoundation.ybif,Female,08-05-1965,Single,0
YBI311,YBI311@ybifoundation.ybif,Female,21-04-1965,Single,5
YBI312,YBI312@ybifoundation.ybif,Female,17-10-1964,Single,0
YBI313,YBI313@ybifoundation.ybif,Male,11-03-1964,Married,0
YBI314,YBI314@ybifoundation.ybif,Female,28-12-1964,Single,0
YBI315,YBI315@ybifoundation.ybif,Male,11-09-1964,Single,0
YBI316,YBI316@ybifoundation.ybif,Female,09-09-1959,Married,1
YBI317,YBI317@ybifoundation.ybif,Female,14-07-1963,Single,0
YBI318,YBI318@ybifoundation.ybif,Male,05-11-1963,Single,0
YBI319,YBI319@ybifoundation.ybif,Male,06-06-1962,Married,1
YBI320,YBI320@ybifoundation.ybif,Female,23-02-1962,Married,1
YBI321,YBI321@ybifoundation.ybif,Female,09-09-1962,Married,1
YBI322,YBI322@ybifoundation.ybif,Male,21-02-1962,Married,5
YBI323,YBI323@ybifoundation.ybif,Female,28-05-1962,Single,5
YBI324,YBI324@ybifoundation.ybif,Male,12-02-1962,Married,5
YBI325,YBI325@ybifoundation.ybif,Male,07-10-1962,Married,5
YBI326,YBI326@ybifoundation.ybif,Female,21-02-1961,Married,5
YBI327,YBI327@ybifoundation.ybif,Male,03-07-1957,Single,1
YBI328,YBI328@ybifoundation.ybif,Male,10-04-1935,Single,2
YBI329,YBI329@ybifoundation.ybif,Male,18-11-1960,Married,5
YBI330,YBI330@ybifoundation.ybif,Male,02-04-1960,Married,5
YBI331,YBI331@ybifoundation.ybif,Male,20-06-1960,Married,5
YBI332,YBI332@ybifoundation.ybif,Male,27-07-1957,Single,1
YBI333,YBI333@ybifoundation.ybif,Female,08-04-1956,Single,1
YBI334,YBI334@ybifoundation.ybif,Male,07-04-1949,Married,2
YBI335,YBI335@ybifoundation.ybif,Female,21-10-1975,Married,0
YBI336,YBI336@ybifoundation.ybif,Female,05-12-1975,Married,0
YBI337,YBI337@ybifoundation.ybif,Female,05-08-1975,Single,0
YBI338,YBI338@ybifoundation.ybif,Female,06-01-1980,Married,0
YBI339,YBI339@ybifoundation.ybif,Female,12-03-1980,Married,0
YBI340,YBI340@ybifoundation.ybif,Female,26-10-1980,Single,0
YBI341,YBI341@ybifoundation.ybif,Female,08-09-1980,Single,0
YBI342,YBI342@ybifoundation.ybif,Male,26-02-1946,Single,5
YBI343,YBI343@ybifoundation.ybif,Male,03-11-1979,Single,0
YBI344,YBI344@ybifoundation.ybif,Female,26-10-1978,Single,0
YBI345,YBI345@ybifoundation.ybif,Female,20-07-1978,Married,0
YBI346,YBI346@ybifoundation.ybif,Female,15-09-1978,Married,0
YBI347,YBI347@ybifoundation.ybif,Female,09-11-1938,Single,2
YBI348,YBI348@ybifoundation.ybif,Male,11-02-1977,Single,0
YBI349,YBI349@ybifoundation.ybif,Female,21-06-1977,Married,0
YBI350,YBI350@ybifoundation.ybif,Male,14-08-1977,Single,0
YBI351,YBI351@ybifoundation.ybif,Male,04-02-1977,Married,0
YBI352,YBI352@ybifoundation.ybif,Male,09-09-1979,Single,0
YBI353,YBI353@ybifoundation.ybif,Female,08-12-1979,Single,0
YBI354,YBI354@ybifoundation.ybif,Female,26-08-1939,Single,2
YBI355,YBI355@ybifoundation.ybif,Male,05-02-1939,Married,2
YBI356,YBI356@ybifoundation.ybif,Male,16-08-1941,Married,2
YBI357,YBI357@ybifoundation.ybif,Male,20-04-1941,Married,2
YBI358,YBI358@ybifoundation.ybif,Male,15-03-1941,Single,2
YBI359,YBI359@ybifoundation.ybif,Female,25-02-1942,Single,2
YBI360,YBI360@ybifoundation.ybif,Male,10-01-1976,Single,0
YBI361,YBI361@ybifoundation.ybif,Female,23-06-1976,Married,0
YBI362,YBI362@ybifoundation.ybif,Female,21-08-1976,Single,0
YBI363,YBI363@ybifoundation.ybif,Male,26-01-1976,Single,0
YBI364,YBI364@ybifoundation.ybif,Female,07-02-1976,Single,0
YBI365,YBI365@ybifoundation.ybif,Female,11-06-1975,Married,0
YBI366,YBI366@ybifoundation.ybif,Male,08-10-1975,Single,0
YBI367,YBI367@ybifoundation.ybif,Female,17-09-1975,Single,0
YBI368,YBI368@ybifoundation.ybif,Male,08-01-1974,Single,0
YBI369,YBI369@ybifoundation.ybif,Female,22-04-1974,Single,0
YBI370,YBI370@ybifoundation.ybif,Male,05-03-1974,Single,0
YBI371,YBI371@ybifoundation.ybif,Male,20-12-1974,Married,0
YBI372,YBI372@ybifoundation.ybif,Male,05-05-1974,Single,0
YBI373,YBI373@ybifoundation.ybif,Female,18-07-1973,Married,0
YBI374,YBI374@ybifoundation.ybif,Female,24-04-1972,Single,0
