Email,AnnualIncome,HomeOwner
YBI211@ybifoundation.ybif,"? 90,000.00",Yes
YBI212@ybifoundation.ybif,"? 60,000.00",No
YBI213@ybifoundation.ybif,"? 60,000.00",Yes
YBI214@ybifoundation.ybif,"? 70,000.00",No
YBI215@ybifoundation.ybif,"? 80,000.00",Yes
YBI216@ybifoundation.ybif,"? 70,000.00",Yes
YBI217@ybifoundation.ybif,"? 60,000.00",Yes
YBI218@ybifoundation.ybif,"? 60,000.00",Yes
YBI219@ybifoundation.ybif,"? 70,000.00",No
YBI220@ybifoundation.ybif,"? 70,000.00",No
YBI221@ybifoundation.ybif,"? 60,000.00",Yes
YBI222@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI223@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI224@ybifoundation.ybif,"? 1,00,000.00",No
YBI225@ybifoundation.ybif,"? 30,000.00",No
YBI226@ybifoundation.ybif,"? 30,000.00",Yes
YBI227@ybifoundation.ybif,"? 20,000.00",Yes
YBI228@ybifoundation.ybif,"? 30,000.00",Yes
YBI229@ybifoundation.ybif,"? 40,000.00",No
YBI230@ybifoundation.ybif,"? 40,000.00",No
YBI231@ybifoundation.ybif,"? 40,000.00",No
YBI232@ybifoundation.ybif,"? 40,000.00",Yes
YBI233@ybifoundation.ybif,"? 40,000.00",Yes
YBI234@ybifoundation.ybif,"? 60,000.00",Yes
YBI235@ybifoundation.ybif,"? 10,000.00",Yes
YBI236@ybifoundation.ybif,"? 30,000.00",No
YBI237@ybifoundation.ybif,"? 30,000.00",Yes
YBI238@ybifoundation.ybif,"? 30,000.00",Yes
YBI239@ybifoundation.ybif,"? 30,000.00",Yes
YBI240@ybifoundation.ybif,"? 10,000.00",Yes
YBI241@ybifoundation.ybif,"? 20,000.00",Yes
YBI242@ybifoundation.ybif,"? 20,000.00",Yes
YBI243@ybifoundation.ybif,"? 20,000.00",Yes
YBI244@ybifoundation.ybif,"? 20,000.00",Yes
YBI245@ybifoundation.ybif,"? 10,000.00",Yes
YBI246@ybifoundation.ybif,"? 60,000.00",Yes
YBI247@ybifoundation.ybif,"? 40,000.00",No
YBI248@ybifoundation.ybif,"? 10,000.00",Yes
YBI249@ybifoundation.ybif,"? 30,000.00",Yes
YBI250@ybifoundation.ybif,"? 30,000.00",Yes
YBI251@ybifoundation.ybif,"? 60,000.00",Yes
YBI252@ybifoundation.ybif,"? 70,000.00",Yes
YBI253@ybifoundation.ybif,"? 60,000.00",Yes
YBI254@ybifoundation.ybif,"? 20,000.00",Yes
YBI255@ybifoundation.ybif,"? 30,000.00",No
YBI256@ybifoundation.ybif,"? 30,000.00",Yes
YBI257@ybifoundation.ybif,"? 30,000.00",No
YBI258@ybifoundation.ybif,"? 30,000.00",Yes
YBI259@ybifoundation.ybif,"? 40,000.00",Yes
YBI260@ybifoundation.ybif,"? 30,000.00",Yes
YBI261@ybifoundation.ybif,"? 30,000.00",No
YBI262@ybifoundation.ybif,"? 40,000.00",No
YBI263@ybifoundation.ybif,"? 60,000.00",No
YBI264@ybifoundation.ybif,"? 40,000.00",Yes
YBI265@ybifoundation.ybif,"? 40,000.00",Yes
YBI266@ybifoundation.ybif,"? 40,000.00",Yes
YBI267@ybifoundation.ybif,"? 70,000.00",Yes
YBI268@ybifoundation.ybif,"? 80,000.00",Yes
YBI269@ybifoundation.ybif,"? 80,000.00",Yes
YBI270@ybifoundation.ybif,"? 80,000.00",Yes
YBI271@ybifoundation.ybif,"? 80,000.00",Yes
YBI272@ybifoundation.ybif,"? 40,000.00",Yes
YBI273@ybifoundation.ybif,"? 40,000.00",Yes
YBI274@ybifoundation.ybif,"? 40,000.00",Yes
YBI275@ybifoundation.ybif,"? 60,000.00",No
YBI276@ybifoundation.ybif,"? 70,000.00",Yes
YBI277@ybifoundation.ybif,"? 60,000.00",Yes
YBI278@ybifoundation.ybif,"? 80,000.00",Yes
YBI279@ybifoundation.ybif,"? 80,000.00",No
YBI280@ybifoundation.ybif,"? 80,000.00",Yes
YBI281@ybifoundation.ybif,"? 80,000.00",Yes
YBI282@ybifoundation.ybif,"? 80,000.00",No
YBI283@ybifoundation.ybif,"? 70,000.00",Yes
YBI284@ybifoundation.ybif,"? 70,000.00",Yes
YBI285@ybifoundation.ybif,"? 80,000.00",Yes
YBI286@ybifoundation.ybif,"? 80,000.00",Yes
YBI287@ybifoundation.ybif,"? 80,000.00",No
YBI288@ybifoundation.ybif,"? 40,000.00",No
YBI289@ybifoundation.ybif,"? 1,60,000.00",Yes
YBI290@ybifoundation.ybif,"? 1,70,000.00",Yes
YBI291@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI292@ybifoundation.ybif,"? 1,30,000.00",No
YBI293@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI294@ybifoundation.ybif,"? 80,000.00",No
YBI295@ybifoundation.ybif,"? 60,000.00",No
YBI296@ybifoundation.ybif,"? 70,000.00",Yes
YBI297@ybifoundation.ybif,"? 70,000.00",No
YBI298@ybifoundation.ybif,"? 80,000.00",Yes
YBI299@ybifoundation.ybif,"? 90,000.00",Yes
YBI300@ybifoundation.ybif,"? 90,000.00",Yes
YBI301@ybifoundation.ybif,"? 90,000.00",Yes
YBI302@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI303@ybifoundation.ybif,"? 70,000.00",No
YBI304@ybifoundation.ybif,"? 70,000.00",Yes
YBI305@ybifoundation.ybif,"? 60,000.00",Yes
